Row No,Brand,Laptop Type,Inches,Ram,Memory,Operating System,Weight(In Grams),Price,Touch Screen,IPS,Retina,Width,Height,Maximum Display Resolution,Menory,Primary Storage,Secondary Storage,Primary Storage Type,Secondary Storage Type,Clock Speed,Processor Brand,Processor Model,GPU Brand,GPU Model
1,Apple,Ultrabook,13.3,8GB,128GB SSD,macOS,1400.0,71379.0,No,Yes,Yes,2560.0,1600.0,Quad HD+ (QHD+),128GB SSD,128GB SSD,Not Available,SSD,Not Available,2.3GHz,Intel,Core i5,Intel,Iris Plus Graphics 640
2,Apple,Ultrabook,13.3,8GB,128GB Flash Storage,macOS,1300.0,47896.0,No,No,No,1440.0,900.0,HD / HD+,128GB Flash Storage,128GB Flash Storage,Not Available,Flash,Not Available,1.8GHz,Intel,Core i5,Intel,HD Graphics 6000
3,HP,Notebook,15.6,8GB,256GB SSD,No OS,1900.0,30636.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
4,Apple,Ultrabook,15.4,16GB,512GB SSD,macOS,1800.0,135195.0,No,Yes,Yes,2880.0,1800.0,Quad HD+ (QHD+),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7,AMD,Radeon Pro 455
5,Apple,Ultrabook,13.3,8GB,256GB SSD,macOS,1400.0,96096.0,No,Yes,Yes,2560.0,1600.0,Quad HD+ (QHD+),256GB SSD,256GB SSD,Not Available,SSD,Not Available,3.1GHz,Intel,Core i5,Intel,Iris Plus Graphics 650
6,Acer,Notebook,15.6,4GB,500GB HDD,Windows 10,2100.0,21312.0,No,No,No,1366.0,768.0,HD / HD+,500GB HDD,500GB HDD,Not Available,HDD,Not Available,3GHz,AMD,A9-Series 9420,AMD,Radeon R5
7,Apple,Ultrabook,15.4,16GB,256GB Flash Storage,Mac OS X,2000.0,114018.0,No,Yes,Yes,2880.0,1800.0,Quad HD+ (QHD+),256GB Flash Storage,256GB Flash Storage,Not Available,Flash,Not Available,2.2GHz,Intel,Core i7,Intel,Iris Pro Graphics
8,Apple,Ultrabook,13.3,8GB,256GB Flash Storage,macOS,1300.0,61736.0,No,No,No,1440.0,900.0,HD / HD+,256GB Flash Storage,256GB Flash Storage,Not Available,Flash,Not Available,1.8GHz,Intel,Core i5,Intel,HD Graphics 6000
9,Asus,Ultrabook,14,16GB,512GB SSD,Windows 10,1300.0,79654.0,No,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Nvidia,GeForce MX150
10,Acer,Ultrabook,14,8GB,256GB SSD,Windows 10,1600.0,41026.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
